match_id,comp_slug,season_slug,match_date,start_time,home_name,away_name,score_home,score_away,match_centre_url,match_dir,match_slug
1913895,laliga,2025-2026,2025-08-25,19:30,Athletic Club,Rayo Vallecano,1,0,https://es.whoscored.com/Matches/1913895/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250825_Athletic_Club_vs_Rayo_Vallecano_1913895,20250825_Athletic_Club_vs_Rayo_Vallecano_1913895
1913897,laliga,2025-2026,2025-08-25,21:30,Sevilla,Getafe,1,2,https://es.whoscored.com/Matches/1913897/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250825_Sevilla_vs_Getafe_1913897,20250825_Sevilla_vs_Getafe_1913897
1913937,laliga,2025-2026,2025-08-27,21:00,Celta Vigo,Real Betis,1,1,https://es.whoscored.com/Matches/1913937/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250827_Celta_Vigo_vs_Real_Betis_1913937,20250827_Celta_Vigo_vs_Real_Betis_1913937
1913890,laliga,2025-2026,2025-08-29,19:30,Elche,Levante,2,0,https://es.whoscored.com/Matches/1913890/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250829_Elche_vs_Levante_1913890,20250829_Elche_vs_Levante_1913890
1913919,laliga,2025-2026,2025-08-29,21:30,Valencia,Getafe,3,0,https://es.whoscored.com/Matches/1913919/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250829_Valencia_vs_Getafe_1913919,20250829_Valencia_vs_Getafe_1913919
1913884,laliga,2025-2026,2025-08-30,17:00,Deportivo Alaves,Atletico Madrid,1,1,https://es.whoscored.com/Matches/1913884/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250830_Deportivo_Alaves_vs_Atletico_1913884,20250830_Deportivo_Alaves_vs_Atletico_1913884
1913899,laliga,2025-2026,2025-08-30,19:00,Real Oviedo,Real Sociedad,1,0,https://es.whoscored.com/Matches/1913899/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250830_Real_Oviedo_vs_Real_Sociedad_1913899,20250830_Real_Oviedo_vs_Real_Sociedad_1913899
1913896,laliga,2025-2026,2025-08-30,19:30,Girona,Sevilla,0,2,https://es.whoscored.com/Matches/1913896/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250830_Girona_vs_Sevilla_1913896,20250830_Girona_vs_Sevilla_1913896
1913920,laliga,2025-2026,2025-08-30,21:30,Real Madrid,Mallorca,2,1,https://es.whoscored.com/Matches/1913920/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250830_Real_Madrid_vs_Mallorca_1913920,20250830_Real_Madrid_vs_Mallorca_1913920
1913887,laliga,2025-2026,2025-08-31,17:00,Celta Vigo,Villarreal,1,1,https://es.whoscored.com/Matches/1913887/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250831_Celta_Vigo_vs_Villarreal_1913887,20250831_Celta_Vigo_vs_Villarreal_1913887
1913902,laliga,2025-2026,2025-08-31,19:00,Real Betis,Athletic Club,1,2,https://es.whoscored.com/Matches/1913902/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250831_Real_Betis_vs_Athletic_Club_1913902,20250831_Real_Betis_vs_Athletic_Club_1913902
1913893,laliga,2025-2026,2025-08-31,19:30,Espanyol,Osasuna,1,0,https://es.whoscored.com/Matches/1913893/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250831_Espanyol_vs_Osasuna_1913893,20250831_Espanyol_vs_Osasuna_1913893
1913904,laliga,2025-2026,2025-08-31,21:30,Rayo Vallecano,Barcelona,1,1,https://es.whoscored.com/Matches/1913904/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250831_Rayo_Vallecano_vs_Barcelona_1913904,20250831_Rayo_Vallecano_vs_Barcelona_1913904
1913929,laliga,2025-2026,2025-09-12,21:00,Sevilla,Elche,2,2,https://es.whoscored.com/Matches/1913929/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250912_Sevilla_vs_Elche_1913929,20250912_Sevilla_vs_Elche_1913929
1913925,laliga,2025-2026,2025-09-13,14:00,Getafe,Real Oviedo,2,0,https://es.whoscored.com/Matches/1913925/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250913_Getafe_vs_Real_Oviedo_1913925,20250913_Getafe_vs_Real_Oviedo_1913925
1913930,laliga,2025-2026,2025-09-13,16:15,Real Sociedad,Real Madrid,1,2,https://es.whoscored.com/Matches/1913930/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250913_Real_Sociedad_vs_Real_Madrid_1913930,20250913_Real_Sociedad_vs_Real_Madrid_1913930
1913927,laliga,2025-2026,2025-09-13,18:30,Athletic Club,Deportivo Alaves,0,1,https://es.whoscored.com/Matches/1913927/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250913_Athletic_Club_vs_Deportivo_Alaves_1913927,20250913_Athletic_Club_vs_Deportivo_Alaves_1913927
