player_id,player_name,team_id,team_name,shirtNo
303800,Lucas Boyé,60,Deportivo Alaves,15
303908,Giovani Lo Celso,54,Real Betis,20
306943,Grady Diangana,833,Elche,19
312580,Toni Lato,51,Mallorca,3
313542,Carlos Soler,68,Real Sociedad,18
315566,Igor Zubeldia,68,Real Sociedad,5
316532,Charles Pickel,70,Espanyol,18
317354,Álvaro Odriozola,68,Real Sociedad,20
317541,Brahim Díaz,52,Real Madrid,21
317630,Djibril Sow,67,Sevilla,20
318120,Marcão,67,Sevilla,23
318505,Yangel Herrera,2783,Girona,21
318871,Trent Alexander-Arnold,52,Real Madrid,12
319388,Valentin Rosier,131,Osasuna,19
322095,Mouctar Diakhaby,55,Valencia,4
322246,André Almeida,55,Valencia,10
322771,Fábio Cardoso,67,Sevilla,15
322772,Domingos Duarte,819,Getafe,22
323148,Marc Roca,54,Real Betis,21
323236,Mariano Díaz,60,Deportivo Alaves,9
323350,Iván Villar,62,Celta Vigo,1
323352,Diego Rico,819,Getafe,16
323625,Arnaut Danjuma,55,Valencia,7
327852,Ovie Ejaria,61,Real Oviedo,14
332823,Unai Simón,53,Athletic Club,1
332990,Djené Dakonam,819,Getafe,2
334221,Dani Raba,55,Valencia,19
335041,Jon Guridi,60,Deportivo Alaves,18
335107,Juan Foyth,839,Villarreal,8
335696,Edu Expósito,70,Espanyol,8
335790,Nacho Vidal,61,Real Oviedo,22
336251,Kike Barja,131,Osasuna,11
337022,Chidera Ejuke,67,Sevilla,21
337454,Facundo Garcés,60,Deportivo Alaves,2
337782,Vinícius Júnior,52,Real Madrid,7
337879,Éder Militão,52,Real Madrid,3
343778,Marash Kumbulla,51,Mallorca,4
344120,Ander Guevara,60,Deportivo Alaves,6
344542,Brais Méndez,68,Real Sociedad,23
344644,Federico Valverde,52,Real Madrid,8
345022,Manor Solomon,839,Villarreal,6
345031,Andrii Lunin,52,Real Madrid,13
345322,Nico González,63,Atletico,23
345366,Diego Pampín,832,Levante,6
345908,Andoni Gorosabel,53,Athletic Club,2
347862,Rodrygo,52,Real Madrid,11
347874,Nahuel Tenaglia,60,Deportivo Alaves,14
349494,Aitor Ruibal,54,Real Betis,24
349660,Manu Morlanes,51,Mallorca,8
349661,Sergio Lozano,832,Levante,21
349760,Ferran Torres,65,Barcelona,7
351252,Junior Firpo,54,Real Betis,23
353423,Aurélien Tchouaméni,52,Real Madrid,14
354526,Hugo Duro,55,Valencia,9
355110,Sergio Gómez,68,Real Sociedad,17
357118,Miguel Rubio,70,Espanyol,15
357839,Dani Vivian,53,Athletic Club,3
361732,Thiago Almada,63,Atletico,11
361898,Luka Ilic,61,Real Oviedo,21
362354,Fernando Calero,70,Espanyol,5
362393,Carlos Protesoni,60,Deportivo Alaves,23
362421,Fran Beltrán,62,Celta Vigo,8
362423,Javi Puado,70,Espanyol,7
362501,Cucho Hernández,54,Real Betis,19
362602,Gorka Guruzeta,53,Athletic Club,11
362623,Oriol Rey,832,Levante,20
362735,Santi Comesaña,839,Villarreal,14
362779,Dávid Hancko,63,Atletico,17
363966,Adrià Pedrosa,67,Sevilla,3
364315,Antony,54,Real Betis,7
365409,Julián Alvarez,63,Atletico,19
365410,Lucas Beltrán,55,Valencia,15
367008,Robin Le Normand,63,Atletico,24
