jugador,nacionalidad,posicion,equipo,competicion,edad,año_nacimiento,pj,titular,minutos,partidos_completos_90,goles_en_contra_adv,goles_contra_por90,tiros_a_puerta_en_contra,paradas,porc_paradas,victorias,empates,derrotas,porterias_cero,porc_porterias_cero,penales_recibidos,penales_concedidos_adv,penales_parados,penales_fallados,porc_penales_parados,goles_falta_directa_en_contra,goles_corners_en_contra,autogoles_en_contra,psxg_en_contra,psnpxg_por_tiro_en_contra,psxg_neto,psxg_neto_por90,pases_largos_completados,pases_largos,porc_pases_largos_completados,pases_totales,saques_con_la_mano,porc_pases_lanzados,long_media_pase,saques_de_porteria,porc_saques_largos,long_media_saque,centros_defendidos,centros_atrapados,porc_centros_atrapados,acciones_fuera_del_area,acciones_fuera_del_area_por90,dist_media_acciones_fuera_area,season,stint_id
Pietro Terracciano,ITA,GK,Milan,Serie A,0.0,1990,2,1,125,1.4,0,0.0,4,4,100.0,1,0,0,2,100.0,0,0,0,0,0.0,0,0,0,0.2,0.05,0.2,0.13,7,9,77.8,30,5,20.0,30.6,6,50.0,43.3,19,1,5.3,0,0.0,8.3,2025-2026,d118171a7a2e39c4a4df7e83d8bd85e5
Lasse Rieß,GER,GK,Mainz 05,Bundesliga,0.0,2001,2,1,112,1.2,4,3.21,10,6,60.0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,3.2,0.33,-0.8,-0.62,4,12,33.3,33,3,33.3,33.8,6,16.7,27.8,5,0,0.0,2,1.61,19.5,2025-2026,e5b1f19fd34761a20d60b154df975b03
Arnaud Bodart,BEL,GK,Lille,Ligue 1,0.0,1998,1,1,90,1.0,1,1.0,2,1,50.0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,1.6,0.79,0.6,0.57,8,14,57.1,28,2,42.9,34.8,5,40.0,37.0,9,0,0.0,1,1.0,13.5,2025-2026,63a850f20270a9b3439f0213a44b4240
Senne Lammens,BEL,GK,Manchester Utd,Premier League,0.0,2002,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0.9,0.31,0.9,0.94,10,37,27.0,39,2,76.9,50.7,7,100.0,68.1,13,2,15.4,3,3.0,16.8,2025-2026,e205231e131888c91d370f76fe684433
Karl-Johan Johnsson,SWE,GK,Strasbourg,Ligue 1,0.0,1990,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0.3,0.14,0.3,0.28,3,10,30.0,32,2,28.1,29.6,2,50.0,45.5,13,1,7.7,3,3.0,18.9,2025-2026,a354f4a47f34d8527bc5d25b33f8169e
Jeffrey De Lange,NED,GK,Marseille,Ligue 1,0.0,1998,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0.0,0.02,0.0,0.02,0,0,0.0,7,0,0.0,17.9,1,0.0,16.0,3,0,0.0,1,1.0,22.0,2025-2026,69aa0490fe22f05c24878f6445c92e45
Kevin Trapp,GER,GK,Paris FC,Ligue 1,0.0,1990,1,1,90,1.0,2,2.0,2,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,1,0,1.5,0.75,-0.5,-0.5,1,8,12.5,28,4,28.6,32.3,7,0.0,22.9,13,1,7.7,3,3.0,22.0,2025-2026,e6f221bdaa5be6e609194779140a4d96
Giorgi Mamardashvili,GEO,GK,Liverpool,Premier League,0.0,2000,1,1,90,1.0,2,2.0,6,4,66.66666666666666,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,1.6,0.28,-0.4,-0.35,6,15,40.0,46,10,28.3,28.8,6,33.3,32.7,16,2,12.5,2,2.0,13.7,2025-2026,009e10bd6e899eb95855e40681a81192
Stefano Turati,ITA,GK,Sassuolo,Serie A,0.0,2001,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,0.0,1,0,0,1.2,0.31,-0.8,-0.76,0,16,0.0,23,4,56.5,40.7,3,100.0,67.3,9,1,11.1,1,1.0,10.0,2025-2026,5d89dc23994d15dbbb3c295efa6bf950
Filip Jørgensen,DEN,GK,Chelsea,Premier League,0.0,2002,1,0,84,0.9,2,2.14,3,1,33.33333333333333,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0,1.8,0.59,-0.2,-0.23,3,10,30.0,31,1,22.6,26.0,4,75.0,55.8,20,0,0.0,1,1.08,16.3,2025-2026,a2d91e3d08bd10860c1e7f7e1af438c7
