jugador,nacionalidad,posicion,equipo,competicion,edad,año_nacimiento,pj,titular,minutos,partidos_completos_90,goles_en_contra_adv,goles_contra_por90,tiros_a_puerta_en_contra,paradas,porc_paradas,victorias,empates,derrotas,porterias_cero,porc_porterias_cero,penales_recibidos,penales_concedidos_adv,penales_parados,penales_fallados,porc_penales_parados,goles_falta_directa_en_contra,goles_corners_en_contra,autogoles_en_contra,psxg_en_contra,psnpxg_por_tiro_en_contra,psxg_neto,psxg_neto_por90,pases_largos_completados,pases_largos,porc_pases_largos_completados,pases_totales,saques_con_la_mano,porc_pases_lanzados,long_media_pase,saques_de_porteria,porc_saques_largos,long_media_saque,centros_defendidos,centros_atrapados,porc_centros_atrapados,acciones_fuera_del_area,acciones_fuera_del_area_por90,dist_media_acciones_fuera_area,season,stint_id
Matz Sels,BEL,GK,Nott'ham Forest,Premier League,0.0,1992,7,7,630,7.0,12,1.71,37,25,67.56756756756756,1,2,4,0,0.0,3,3,0,0,0.0,0,1,0,13.6,0.31,1.6,0.23,20,71,28.2,150,26,41.3,35.4,42,21.4,26.5,105,4,3.8,5,0.71,13.5,2025-2026,e87ddf2f7d1a45e26c69559280d94126
Guglielmo Vicario,ITA,GK,Tottenham,Premier League,0.0,1996,7,7,630,7.0,5,0.71,29,24,82.75862068965517,4,2,1,3,42.857142857142854,0,0,0,0,0.0,0,1,0,7.2,0.27,2.2,0.31,24,74,32.4,265,35,22.6,28.7,44,31.8,31.6,78,3,3.8,13,1.86,16.7,2025-2026,1a35ad77b33041f36ef2f72204cd9035
Paulo Gazzaniga,ARG,GK,Girona,La Liga,0.0,1992,7,7,582,6.5,11,1.7,35,24,68.57142857142857,1,3,3,1,14.285714285714285,1,1,0,0,0.0,1,0,0,13.4,0.36,2.4,0.37,16,90,17.8,198,33,34.8,35.0,31,67.7,50.2,104,2,1.9,7,1.08,15.9,2025-2026,b6150277cc66ad724b7740d5d17b9c3f
Nicola Leali,ITA,GK,Genoa,Serie A,0.0,1993,6,6,540,6.0,9,1.5,23,14,60.86956521739131,0,2,4,1,16.666666666666664,1,1,0,0,0.0,0,1,0,7.7,0.31,-1.3,-0.21,25,89,28.1,155,14,46.5,37.4,24,70.8,50.2,71,1,1.4,8,1.33,17.9,2025-2026,e4c0b437787b3b93996919cd16030a88
Kamil Grabara,POL,GK,Wolfsburg,Bundesliga,0.0,1999,6,6,540,6.0,10,1.67,28,18,64.28571428571429,1,2,3,0,0.0,2,1,0,1,0.0,1,1,0,10.1,0.33,0.1,0.01,17,63,27.0,206,37,24.8,30.7,20,60.0,47.1,120,5,4.2,6,1.0,12.4,2025-2026,0a1b70b500dd9018ba8c3013c28b2ac5
Ivan Provedel,ITA,GK,Lazio,Serie A,0.0,1994,6,6,540,6.0,7,1.17,32,25,78.125,2,1,3,2,33.33333333333333,0,0,0,0,0.0,1,2,0,10.5,0.35,3.5,0.58,20,74,27.0,164,21,36.0,35.2,31,48.4,39.6,73,6,8.2,3,0.5,11.0,2025-2026,63a485d0ee3e11ddda136ef8b78b9b5f
Mark Flekken,NED,GK,Leverkusen,Bundesliga,0.0,1993,6,6,540,6.0,8,1.33,27,19,70.37037037037037,3,2,1,1,16.666666666666664,1,1,0,0,0.0,0,4,0,7.2,0.23,-0.8,-0.14,20,72,27.8,189,23,25.4,30.7,38,63.2,49.9,86,3,3.5,10,1.67,15.1,2025-2026,6c93f46df1dd89e3302da2fca3895731
Joan García,ESP,GK,Barcelona,La Liga,0.0,2001,6,6,540,6.0,4,0.67,18,14,77.77777777777779,5,1,0,3,50.0,1,1,0,0,0.0,0,1,0,6.0,0.3,2.0,0.33,6,12,50.0,167,47,6.6,24.5,14,7.1,27.9,53,3,5.7,28,4.67,21.9,2025-2026,d64852b7ac015a2944669abb9d0184e6
Łukasz Skorupski,POL,GK,Bologna,Serie A,0.0,1991,6,6,540,6.0,5,0.83,17,12,70.58823529411765,3,1,2,2,33.33333333333333,0,0,0,0,0.0,0,1,0,4.8,0.28,-0.2,-0.04,31,77,40.3,270,33,24.8,31.0,27,37.0,36.4,57,5,8.8,4,0.67,11.3,2025-2026,1c6806333e46117e3e64810048699206
Adrian Šemper,CRO,GK,Pisa,Serie A,0.0,1998,6,6,540,6.0,10,1.67,29,19,65.51724137931035,0,2,4,1,16.666666666666664,0,0,0,0,0.0,1,0,0,8.9,0.31,-1.1,-0.18,48,110,43.6,166,21,55.4,42.0,29,62.1,49.8,83,8,9.6,0,0.0,6.4,2025-2026,1efae2a1296795d9b1fb17dbfa459155
Robert Sánchez,ESP,GK,Chelsea,Premier League,0.0,1997,7,7,544,6.0,7,1.16,19,12,63.1578947368421,3,2,2,2,28.57142857142857,0,0,0,0,0.0,0,1,0,5.8,0.31,-1.2,-0.2,19,92,20.7,220,30,35.0,35.2,26,57.7,50.8,69,10,14.5,5,0.83,11.8,2025-2026,a982ec73e14e9641c6dd96025f33259b
Marvin Schwäbe,GER,GK,Köln,Bundesliga,0.0,1995,6,6,540,6.0,9,1.5,27,18,66.66666666666666,3,1,2,2,33.33333333333333,1,1,0,0,0.0,2,2,0,9.9,0.37,0.9,0.15,50,144,34.7,225,15,42.7,37.2,62,77.4,56.9,122,2,1.6,6,1.0,15.6,2025-2026,7eb320566bf0eaaf12114ced6d8922ab
Mike Penders,BEL,GK,Strasbourg,Ligue 1,0.0,2005,6,6,540,6.0,7,1.17,21,14,66.66666666666666,4,0,2,3,50.0,0,0,0,0,0.0,0,0,0,6.0,0.3,-1.0,-0.17,16,45,35.6,249,19,14.9,24.5,15,53.3,41.3,85,9,10.6,5,0.83,11.4,2025-2026,f37e3fdcb2ed4507d8900310a163184b
Diant Ramaj,GER,GK,Heidenheim,Bundesliga,0.0,2001,6,6,540,6.0,11,1.83,35,24,68.57142857142857,1,0,5,0,0.0,1,1,0,0,0.0,0,0,0,12.8,0.36,1.8,0.31,48,143,33.6,288,27,38.9,38.8,53,58.5,49.5,90,10,11.1,8,1.33,11.8,2025-2026,1b21a009856ddb5516a4eede18b7c2ba
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,0.0,1986,6,6,540,6.0,3,0.5,13,10,76.92307692307693,6,0,0,4,66.66666666666666,0,0,0,0,0.0,1,0,0,3.0,0.23,0.0,0.0,29,61,47.5,231,27,23.4,29.9,26,26.9,32.6,60,1,1.7,20,3.33,23.0,2025-2026,9042407d1499c97efbdda5b7cd4ccd22
Razvan Sava,ROU,GK,Udinese,Serie A,0.0,2002,6,6,540,6.0,9,1.5,21,12,57.14285714285714,2,2,2,1,16.666666666666664,0,0,0,0,0.0,0,1,0,6.9,0.33,-2.1,-0.35,14,47,29.8,141,20,24.8,29.4,31,38.7,37.2,71,1,1.4,6,1.0,18.2,2025-2026,bbef8648047488862c0625e8b25f4d17
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,0.0,1997,6,6,540,6.0,4,0.67,16,12,75.0,4,2,0,4,66.66666666666666,1,1,0,0,0.0,0,0,0,4.2,0.23,0.2,0.03,17,56,30.4,168,23,29.2,31.0,22,31.8,36.0,82,1,1.2,4,0.67,14.8,2025-2026,cc6a31a622e2bd958cbbbc9c2c067cd3
Finn Dahmen,GER,GK,Augsburg,Bundesliga,0.0,1998,6,6,540,6.0,13,2.17,34,20,58.82352941176471,2,0,4,0,0.0,2,1,1,0,50.0,1,0,0,14.1,0.36,1.1,0.18,35,96,36.5,214,20,32.7,33.6,41,63.4,48.3,74,5,6.8,13,2.17,15.1,2025-2026,781501151a52e19b806b33a09b300d9c
Michele Di Gregorio,ITA,GK,Juventus,Serie A,0.0,1997,6,6,540,6.0,5,0.83,16,11,68.75,3,3,0,3,50.0,2,1,0,1,0.0,0,1,0,5.1,0.26,0.1,0.01,21,55,38.2,170,25,25.3,30.9,22,54.5,44.5,89,7,7.9,2,0.33,9.7,2025-2026,816198cefed351cee42b3547c495e1c7
David de Gea,ESP,GK,Fiorentina,Serie A,0.0,1990,6,6,540,6.0,8,1.33,28,20,71.42857142857143,0,3,3,2,33.33333333333333,1,1,0,0,0.0,0,2,0,7.6,0.26,-0.4,-0.06,29,69,42.0,179,22,34.6,32.8,18,38.9,38.3,70,2,2.9,4,0.67,12.8,2025-2026,9a4ab84ecfea9870386171d87893c631
Luiz Lúcio Reis Júnior,BRA,GK,Villarreal,La Liga,0.0,2001,6,6,540,6.0,4,0.67,18,13,72.22222222222221,4,1,1,3,50.0,2,1,1,0,50.0,0,0,0,5.6,0.23,1.6,0.27,4,28,14.3,110,24,23.6,27.9,21,9.5,24.9,56,2,3.6,7,1.17,13.3,2025-2026,bec7fedefa74c2e8d01a9b81623effa9
Franco Israel,URU,GK,Torino,Serie A,0.0,2000,6,6,540,6.0,13,2.17,28,15,53.57142857142857,1,2,3,2,33.33333333333333,2,2,0,0,0.0,0,2,0,9.0,0.27,-4.0,-0.66,39,102,38.2,198,22,44.4,38.2,21,66.7,49.1,68,2,2.9,5,0.83,14.4,2025-2026,2e5f6429a3813e9a7b7238c8124ce515
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,0.0,1990,6,6,540,6.0,8,1.33,22,14,63.63636363636363,4,1,1,3,50.0,0,0,0,0,0.0,0,1,0,6.9,0.31,-1.1,-0.19,20,64,31.3,208,22,22.1,29.4,29,62.1,47.8,88,5,5.7,8,1.33,14.1,2025-2026,f0f7e5acbb5956bd1f1a7a80bfa42fd8
Daniel Heuer Fernandes,POR,GK,Hamburger SV,Bundesliga,0.0,1992,6,6,540,6.0,8,1.33,35,26,74.28571428571429,2,2,2,3,50.0,2,1,1,0,50.0,0,2,0,8.7,0.21,0.7,0.11,33,94,35.1,247,18,31.6,30.7,34,47.1,42.9,96,3,3.1,4,0.67,12.0,2025-2026,d1859280435128662dcb44f37e3bbc1e
Wladimiro Falcone,ITA,GK,Lecce,Serie A,0.0,1995,6,6,540,6.0,10,1.67,29,19,65.51724137931035,1,2,3,2,33.33333333333333,2,2,0,0,0.0,0,1,0,10.1,0.29,0.1,0.01,39,127,30.7,161,16,66.5,45.3,24,83.3,52.0,88,3,3.4,7,1.17,13.0,2025-2026,b674db3ddc83992d7e15e7d3b497fcbc
Jean Butez,FRA,GK,Como,Serie A,0.0,1995,6,6,540,6.0,5,0.83,13,8,61.53846153846154,2,3,1,1,16.666666666666664,0,0,0,0,0.0,0,1,0,4.3,0.33,-0.7,-0.12,39,71,54.9,221,21,27.1,29.6,20,55.0,43.9,72,8,11.1,11,1.83,16.0,2025-2026,f4f179d40d982ffae45af5ea17b50330
Marco Carnesecchi,ITA,GK,Atalanta,Serie A,0.0,2000,6,6,540,6.0,5,0.83,27,22,81.48148148148148,2,4,0,1,16.666666666666664,1,0,1,0,100.0,0,1,1,6.8,0.23,2.8,0.46,36,89,40.4,201,30,31.3,32.2,34,76.5,55.9,88,4,4.5,7,1.17,14.1,2025-2026,51c6204bedce8b8c7e8528d618084825
Noah Atubolu,GER,GK,Freiburg,Bundesliga,0.0,2002,6,6,540,6.0,9,1.5,27,17,62.96296296296296,2,2,2,2,33.33333333333333,1,0,1,0,100.0,0,2,0,9.1,0.32,0.1,0.02,55,130,42.3,233,20,46.4,38.5,30,73.3,56.3,84,5,6.0,8,1.33,14.7,2025-2026,bbb0c404efbdd5348d679b775114192b
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,0.0,1990,6,6,540,6.0,12,2.0,29,17,58.620689655172406,2,1,3,0,0.0,2,2,0,0,0.0,0,3,0,10.4,0.33,-1.6,-0.27,25,76,32.9,171,14,38.0,34.6,25,44.0,37.7,88,3,3.4,19,3.17,19.2,2025-2026,0d55576b3aa4067403150b3ce654424b
Elia Caprile,ITA,GK,Cagliari,Serie A,0.0,2001,6,6,540,6.0,6,1.0,26,20,76.92307692307693,2,2,2,1,16.666666666666664,0,0,0,0,0.0,0,2,0,8.0,0.31,2.0,0.33,38,99,38.4,165,31,45.5,37.5,48,50.0,40.5,103,17,16.5,7,1.17,12.3,2025-2026,558b0597e62c0a5100c77c4697a2869e
Altay Bayındır,TUR,GK,Manchester Utd,Premier League,0.0,1998,6,6,540,6.0,11,1.83,24,13,54.166666666666664,2,1,3,0,0.0,0,0,0,0,0.0,0,2,0,9.4,0.43,-1.6,-0.26,28,95,29.5,176,15,47.7,37.5,16,68.8,49.1,63,6,9.5,7,1.17,13.0,2025-2026,fee41639b8d4fa0fb5816e42b690409a
Alisson,BRA,GK,Liverpool,Premier League,0.0,1992,6,6,540,6.0,7,1.17,16,9,56.25,5,0,1,2,33.33333333333333,0,0,0,0,0.0,0,1,0,6.5,0.4,-0.5,-0.09,22,60,36.7,239,27,23.0,29.5,15,33.3,32.5,76,3,3.9,8,1.33,14.4,2025-2026,2fd5eb98cbb66e4aab6b6f6f8fe5cdb6
Mile Svilar,SRB,GK,Roma,Serie A,0.0,1999,6,6,540,6.0,2,0.33,17,15,88.23529411764706,5,0,1,4,66.66666666666666,0,0,0,0,0.0,0,0,0,3.7,0.22,1.7,0.29,28,85,32.9,199,31,28.6,33.1,45,62.2,48.9,67,3,4.5,4,0.67,14.0,2025-2026,adf6f2ff34ea39ef63d54d05c74b917d
Nikola Vasilj,BIH,GK,St. Pauli,Bundesliga,0.0,1995,6,6,540,6.0,9,1.5,31,20,64.51612903225806,2,1,3,1,16.666666666666664,2,0,2,0,100.0,0,0,0,10.3,0.28,1.3,0.21,15,58,25.9,239,26,23.8,28.6,4,25.0,30.8,39,4,10.3,7,1.17,14.6,2025-2026,302fb98106697f409a0ccb220ea93462
Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,0.0,1992,6,6,540,6.0,13,2.17,39,26,66.66666666666666,2,1,3,1,16.666666666666664,3,3,0,0,0.0,0,1,0,14.0,0.3,1.0,0.16,37,123,30.1,156,19,54.5,40.4,43,88.4,59.8,93,10,10.8,3,0.5,10.1,2025-2026,089fc0344a6de109f79779763d8e7673
Mathew Ryan,AUS,GK,Levante,La Liga,0.0,1992,6,6,540,6.0,9,1.5,31,22,70.96774193548387,2,2,2,2,33.33333333333333,1,1,0,0,0.0,0,1,0,9.7,0.28,0.7,0.12,32,85,37.6,147,24,38.8,37.4,52,53.8,44.9,97,3,3.1,8,1.33,12.7,2025-2026,a6eacc4e27d4ea138844e4a8d0172587
